ID,Zloss,Zgain,Zlessivage,I/E Ratio,Criteria,Soil Order,Suborder,Great Group,Subgroup,Deposit Material ,Drainage Class,Depth to Gleying ,Distance to RSF,E_Sand,E_Silt,E_Clay,I_Sand,I_Silt,I_Clay,E_Porosity,I_Porosity,E_pHw,I_pHw,E_pHKCL,I_pHKCL,E_OC,I_OC,E_EA,I_EA,E_TEB,I_TEB,E_CEC,I_CEC,E_BS,I_BS,E_SM,E_MI,E_HV,E_KA,E_GI,E_QZ,I_SM,I_MI,I_HV,I_KA,I_GI,I_QZ,E_DOMMIN,I_DOMMIN
S38_025,28,10,28,3.449275362,one,alfs,ud,Hapl,Typic,Decomposition Residuum,WD,250,7407.23492,92.81428571,3.171428572,3.942857143,80.8,5.6,13.6,0.4057,0.42,5.8286,6,5.8,5.9,0.41278,0.37,3.9428,2.36,2.5711,4.65,3.65964,7.01,0.696118,0.663,0,0,48,42,0,10,0,0,41,48,0,10,MIXED,MIXED
S38_026,145,58,145,25.98606646,one,alfs,ud,Pale,Grossarenic,Decomposition Residuum,SPD,107,6237.845751,95.25034483,3.462758621,1.286896552,61.13793103,5.420689656,33.44137932,0.40124,0.36415,5.1538,4.7068,4.6876,3.9136,0.2339,0.26354,1.2868,7.27862,0.41442,7.11643,1.54962,14.39505,0.279916,0.510258,0,0,42,34,0,24,0,0,26,57,0,17,MIXED,KA
S38_029,20,183,20,3.746197906,one,alfs,ud,Pale,Ultic,Decomposition Residuum,WD,250,8089.563369,86.1,5.6,8.3,60.86721312,8.039344263,31.09344262,0.44,0.43776,5.8,4.987,4.9,4.2712,0.86,0.14319,8.3,17.58501,5.11,9.60062,12.16,27.18563,0.42,0.353441,0,0,30,54,0,16,45,0,19,20,0,17,KA,SM
S40_002,38,165,38,2.755538337,one,ults,ud,Kandi,Typic,Decomposition Residuum,WD,250,6530.262483,81.70526316,8.415789474,9.878947368,67.9103031,4.867878793,27.22181821,0.47,0.38815,5.0605,4.7945,4.6815,4.5555,0.97465,0.13507,9.879,6.63938,1.60985,2.01542,10.6218,8.6548,0.152,0.23646,0,0,46,44,0,10,0,0,29,66,0,6,MIXED,KA
S40_004,36,167,36,5.849527939,one,ults,ud,Kanhapl,Typic,Decomposition Residuum,WD,250,9964.690051,89,2.85,8.15,48.58802395,3.738323353,47.6736527,0.44,0.41037,4.8,4.2712,4.55,4.0497,0.765,0.16684,8.15,7.23049,0.732,0.63448,4.837,7.86497,0.151,0.078426,0,0,25,67,0,8,0,0,9,88,0,4,KA,KA
S40_007,61,142,61,3.222620479,one,ults,ud,Kandi,Arenic,Solution Residuum,WD,250,1494.195349,86.15737705,6.260655739,7.581967214,70.84647888,4.71971831,24.43380281,0.39459,0.38432,5.1459,4.7187,4.9377,4.2781,0.55048,0.10738,7.582,7.21508,2.73276,2.21242,6.8603,9.4275,0.389801,0.237088,0,0,40,49,0,11,0,0,22,71,0,7,MIXED,KA
S40_008,30,173,30,5.301833724,one,alfs,aqu,Endo,Umbric,Solution Residuum,PD,0,4472.131396,87.57,6.86,5.57,63.684393,6.784393057,29.53121384,0.37301,0.39435,4.7,4.5446,4.4767,3.822,1.15331,0.12909,5.5699,20.65352,3.42419,14.2812,11.39383,34.93472,0.298942,0.403961,79,0,0,7,0,14,95,0,0,0,0,5,SM,SM
S40_009,112,91,112,2.979771573,one,ults,ud,Pale,Grossarenic,Solution Residuum,MWD,157,6917.493919,89.86428572,6.142857142,3.992857143,82.90769239,5.1945055,11.89780221,0.39556,0.35926,4.777,4.4253,4.6699,4.3549,0.25787,0.02981,3.9926,5.75949,0.91535,1.15753,4.70417,6.91702,0.172201,0.16005,0,0,42,33,0,25,24,0,26,41,0,10,MIXED,KA
S40_011,173,30,173,6.05870942,one,ults,ud,Kandi,Grossarenic,Solution Residuum,WD,250,4352.480162,92.92369933,4.245664735,2.830635836,79.5,3.35,17.15,0.40247,0.37,5.5103,4.85,4.6266,4.5,0.25409,0.075,2.8335,3.965,0.54262,0.705,2.14983,4.67,0.263986,0.165,0,0,33,23,0,44,0,0,20,75,0,5,QZ,KA
S40_012,127,76,127,10.25917108,one,ults,ud,Pale,Aquic,Decomposition Residuum,SPD,66,7660.415653,90.76614182,6.318110243,2.915748034,65.35263158,4.844736842,29.9131579,0.41206,0.33553,4.6086,4.1948,4.4455,3.9711,0.36339,0.05896,2.9155,7.00646,0.18975,0.69303,4.57779,7.69949,0.042668,0.09181,0,0,16,18,0,66,0,0,7,89,0,5,QZ,KA
