ID,TOP_DEP,BOTT_DEP,CRITERIA,ZONE,UI,DISCONT,TOT_SAND,navy,olivedrab,yellow,orange,red,,navy,olivedrab,yellow,orange,red
S01_058,175,203,one,gain,0.29,no,76.8,0.00,1.30,17.32,57.55,23.83,,0,1,13.3,44.2,18.3
S01_059,0,10,one,loss,0,no,91.1,0.00,1.43,20.53,54.45,23.60,,0,1.3,18.7,49.6,21.5
S01_059,10,15,one,loss,0.07,no,93.3,0.00,1.39,19.72,54.98,23.90,,0,1.3,18.4,51.3,22.3
S01_059,15,20,one,loss,0.10,no,93,0.00,1.29,18.71,54.30,25.70,,0,1.2,17.4,50.5,23.9
S01_059,20,30,one,loss,0.11,no,91.6,0.00,1.53,20.41,54.80,23.25,,0,1.4,18.7,50.2,21.3
S01_059,30,48,one,loss,0.03,no,92.2,0.00,1.41,19.20,55.42,23.97,,0,1.3,17.7,51.1,22.1
S01_059,48,84,one,loss,0.20,no,90.9,0.00,1.32,15.18,56.33,27.17,,0,1.2,13.8,51.2,24.7
S01_059,84,112,one,loss,0.13,no,92.3,0.00,1.52,15.82,56.88,25.79,,0,1.4,14.6,52.5,23.8
S01_059,112,127,one,top,0.08,no,76.1,0.00,1.58,19.05,57.16,22.21,,0,1.2,14.5,43.5,16.9
S01_059,127,142,one,gain,0.11,no,69.5,0.00,1.29,20.14,55.97,22.59,,0,0.9,14,38.9,15.7
S01_059,142,173,one,gain,0.27,no,69,0.00,1.30,23.33,58.55,16.81,,0,0.9,16.1,40.4,11.6
S01_059,173,203,one,gain,0.11,no,76.3,0.00,1.31,20.71,61.73,16.25,,0,1,15.8,47.1,12.4
S01_062,0,13,one,loss,0,no,92.6,0.00,4.75,47.52,42.98,4.75,,0,4.4,44,39.8,4.4
S01_062,13,23,one,loss,0.08,no,95,0.00,5.47,44.11,44.74,5.68,,0,5.2,41.9,42.5,5.4
S01_062,23,41,one,loss,0.03,no,94.9,0.11,5.16,40.04,48.16,6.53,,0.1,4.9,38,45.7,6.2
S01_062,41,51,one,top,0.24,no,89.6,0.00,4.13,36.27,52.90,6.70,,0,3.7,32.5,47.4,6
S01_062,51,61,one,gain,0.04,no,88.6,0.00,5.08,41.76,47.52,5.64,,0,4.5,37,42.1,5
S01_062,61,81,one,other,0.23,no,93.8,0.11,4.48,38.81,50.64,5.97,,0.1,4.2,36.4,47.5,5.6
S01_062,81,109,one,other,0.15,no,95.3,0.00,5.67,40.40,48.06,5.88,,0,5.4,38.5,45.8,5.6
S01_062,109,119,one,gain,0.38,no,82.1,0.12,4.99,38.37,50.06,6.46,,0.1,4.1,31.5,41.1,5.3
S01_062,119,175,one,gain,0.19,no,74.9,0.13,5.21,39.12,49.67,5.87,,0.1,3.9,29.3,37.2,4.4
S01_062,175,213,one,gain,0.25,no,87.4,0.11,4.58,37.76,52.29,5.26,,0.1,4,33,45.7,4.6
S01_063,0,23,one,loss,0,no,92.2,0.11,4.23,38.39,50.98,6.29,,0.1,3.9,35.4,47,5.8
S01_063,23,53,one,loss,0.13,no,92.7,0.11,4.10,37.54,52.10,6.15,,0.1,3.8,34.8,48.3,5.7
